trait_id,GeneID,Symbol,tax_id,Org_name
cytokine_NCBI,26053,AUTS2,9606,Homo sapiens
cytokine_NCBI,558,AXL,9606,Homo sapiens
cytokine_NCBI,567,B2M,9606,Homo sapiens
cytokine_NCBI,27087,B3GAT1,9606,Homo sapiens
cytokine_NCBI,23621,BACE1,9606,Homo sapiens
cytokine_NCBI,60468,BACH2,9606,Homo sapiens
cytokine_NCBI,572,BAD,9606,Homo sapiens
cytokine_NCBI,573,BAG1,9606,Homo sapiens
cytokine_NCBI,578,BAK1,9606,Homo sapiens
cytokine_NCBI,8314,BAP1,9606,Homo sapiens
cytokine_NCBI,10538,BATF,9606,Homo sapiens
cytokine_NCBI,27113,BBC3,9606,Homo sapiens
cytokine_NCBI,54828,BCAS3,9606,Homo sapiens
cytokine_NCBI,8915,BCL10,9606,Homo sapiens
cytokine_NCBI,596,BCL2,9606,Homo sapiens
cytokine_NCBI,597,BCL2A1,9606,Homo sapiens
cytokine_NCBI,598,BCL2L1,9606,Homo sapiens
cytokine_NCBI,10018,BCL2L11,9606,Homo sapiens
cytokine_NCBI,83596,BCL2L12,9606,Homo sapiens
cytokine_NCBI,602,BCL3,9606,Homo sapiens
cytokine_NCBI,604,BCL6,9606,Homo sapiens
cytokine_NCBI,255877,BCL6B,9606,Homo sapiens
cytokine_NCBI,83875,BCO2,9606,Homo sapiens
cytokine_NCBI,624,BDKRB2,9606,Homo sapiens
cytokine_NCBI,627,BDNF,9606,Homo sapiens
cytokine_NCBI,79365,BHLHE41,9606,Homo sapiens
cytokine_NCBI,330,BIRC3,9606,Homo sapiens
cytokine_NCBI,332,BIRC5,9606,Homo sapiens
cytokine_NCBI,640,BLK,9606,Homo sapiens
cytokine_NCBI,649,BMP1,9606,Homo sapiens
cytokine_NCBI,27302,BMP10,9606,Homo sapiens
cytokine_NCBI,9210,BMP15,9606,Homo sapiens
cytokine_NCBI,650,BMP2,9606,Homo sapiens
cytokine_NCBI,651,BMP3,9606,Homo sapiens
cytokine_NCBI,652,BMP4,9606,Homo sapiens
cytokine_NCBI,653,BMP5,9606,Homo sapiens
cytokine_NCBI,654,BMP6,9606,Homo sapiens
cytokine_NCBI,655,BMP7,9606,Homo sapiens
cytokine_NCBI,353500,BMP8A,9606,Homo sapiens
cytokine_NCBI,656,BMP8B,9606,Homo sapiens
cytokine_NCBI,660,BMX,9606,Homo sapiens
cytokine_NCBI,673,BRAF,9606,Homo sapiens
cytokine_NCBI,8315,BRAP,9606,Homo sapiens
cytokine_NCBI,682,BSG,9606,Homo sapiens
cytokine_NCBI,684,BST2,9606,Homo sapiens
cytokine_NCBI,695,BTK,9606,Homo sapiens
cytokine_NCBI,151888,BTLA,9606,Homo sapiens
cytokine_NCBI,696,BTN1A1,9606,Homo sapiens
cytokine_NCBI,11120,BTN2A1,9606,Homo sapiens
cytokine_NCBI,10385,BTN2A2,9606,Homo sapiens
cytokine_NCBI,54718,BTN2A3P,9606,Homo sapiens
cytokine_NCBI,11119,BTN3A1,9606,Homo sapiens
cytokine_NCBI,11118,BTN3A2,9606,Homo sapiens
cytokine_NCBI,10384,BTN3A3,9606,Homo sapiens
cytokine_NCBI,100129094,BTNL10,9606,Homo sapiens
cytokine_NCBI,56244,BTNL2,9606,Homo sapiens
cytokine_NCBI,10917,BTNL3,9606,Homo sapiens
cytokine_NCBI,79908,BTNL8,9606,Homo sapiens
cytokine_NCBI,153579,BTNL9,9606,Homo sapiens
cytokine_NCBI,100141515,C17orf99,9606,Homo sapiens
cytokine_NCBI,29071,C1GALT1C1,9606,Homo sapiens
cytokine_NCBI,114899,C1QTNF3,9606,Homo sapiens
cytokine_NCBI,114900,C1QTNF4,9606,Homo sapiens
cytokine_NCBI,114902,C1QTNF5,9606,Homo sapiens
cytokine_NCBI,338872,C1QTNF9,9606,Homo sapiens
cytokine_NCBI,56918,C2orf83,9606,Homo sapiens
cytokine_NCBI,718,C3,9606,Homo sapiens
cytokine_NCBI,719,C3AR1,9606,Homo sapiens
cytokine_NCBI,720,C4A,9606,Homo sapiens
cytokine_NCBI,721,C4B,9606,Homo sapiens
cytokine_NCBI,727,C5,9606,Homo sapiens
cytokine_NCBI,728,C5AR1,9606,Homo sapiens
cytokine_NCBI,387263,C6orf120,9606,Homo sapiens
cytokine_NCBI,100533105,C8orf44-SGK3,9606,Homo sapiens
cytokine_NCBI,760,CA2,9606,Homo sapiens
cytokine_NCBI,775,CACNA1C,9606,Homo sapiens
cytokine_NCBI,23705,CADM1,9606,Homo sapiens
cytokine_NCBI,10241,CALCOCO2,9606,Homo sapiens
cytokine_NCBI,811,CALR,9606,Homo sapiens
cytokine_NCBI,814,CAMK4,9606,Homo sapiens
cytokine_NCBI,79823,CAMKMT,9606,Homo sapiens
cytokine_NCBI,820,CAMP,9606,Homo sapiens
cytokine_NCBI,84433,CARD11,9606,Homo sapiens
cytokine_NCBI,79092,CARD14,9606,Homo sapiens
cytokine_NCBI,64170,CARD9,9606,Homo sapiens
cytokine_NCBI,834,CASP1,9606,Homo sapiens
cytokine_NCBI,100506742,CASP12,9606,Homo sapiens
cytokine_NCBI,836,CASP3,9606,Homo sapiens
cytokine_NCBI,837,CASP4,9606,Homo sapiens
cytokine_NCBI,841,CASP8,9606,Homo sapiens
cytokine_NCBI,846,CASR,9606,Homo sapiens
cytokine_NCBI,857,CAV1,9606,Homo sapiens
cytokine_NCBI,865,CBFB,9606,Homo sapiens
cytokine_NCBI,867,CBL,9606,Homo sapiens
cytokine_NCBI,868,CBLB,9606,Homo sapiens
cytokine_NCBI,79080,CCDC86,9606,Homo sapiens
cytokine_NCBI,55704,CCDC88A,9606,Homo sapiens
cytokine_NCBI,283234,CCDC88B,9606,Homo sapiens
cytokine_NCBI,6346,CCL1,9606,Homo sapiens
cytokine_NCBI,6356,CCL11,9606,Homo sapiens
cytokine_NCBI,6357,CCL13,9606,Homo sapiens
cytokine_NCBI,6358,CCL14,9606,Homo sapiens
cytokine_NCBI,6359,CCL15,9606,Homo sapiens
cytokine_NCBI,348249,CCL15-CCL14,9606,Homo sapiens
cytokine_NCBI,6360,CCL16,9606,Homo sapiens
cytokine_NCBI,6361,CCL17,9606,Homo sapiens
cytokine_NCBI,6362,CCL18,9606,Homo sapiens
cytokine_NCBI,6363,CCL19,9606,Homo sapiens
cytokine_NCBI,6347,CCL2,9606,Homo sapiens
cytokine_NCBI,6364,CCL20,9606,Homo sapiens
cytokine_NCBI,6366,CCL21,9606,Homo sapiens
cytokine_NCBI,6367,CCL22,9606,Homo sapiens
cytokine_NCBI,6368,CCL23,9606,Homo sapiens
cytokine_NCBI,6369,CCL24,9606,Homo sapiens
cytokine_NCBI,6370,CCL25,9606,Homo sapiens
cytokine_NCBI,10344,CCL26,9606,Homo sapiens
cytokine_NCBI,10850,CCL27,9606,Homo sapiens
cytokine_NCBI,56477,CCL28,9606,Homo sapiens
cytokine_NCBI,6348,CCL3,9606,Homo sapiens
cytokine_NCBI,6349,CCL3L1,9606,Homo sapiens
cytokine_NCBI,414062,CCL3L3,9606,Homo sapiens
cytokine_NCBI,390788,CCL3P1,9606,Homo sapiens
cytokine_NCBI,6351,CCL4,9606,Homo sapiens
cytokine_NCBI,388372,CCL4L1,9606,Homo sapiens
cytokine_NCBI,9560,CCL4L2,9606,Homo sapiens
cytokine_NCBI,6352,CCL5,9606,Homo sapiens
cytokine_NCBI,6354,CCL7,9606,Homo sapiens
cytokine_NCBI,6355,CCL8,9606,Homo sapiens
cytokine_NCBI,8840,CCN4,9606,Homo sapiens
cytokine_NCBI,595,CCND1,9606,Homo sapiens
cytokine_NCBI,894,CCND2,9606,Homo sapiens
cytokine_NCBI,896,CCND3,9606,Homo sapiens
cytokine_NCBI,1230,CCR1,9606,Homo sapiens
cytokine_NCBI,2826,CCR10,9606,Homo sapiens
cytokine_NCBI,729230,CCR2,9606,Homo sapiens
cytokine_NCBI,1233,CCR4,9606,Homo sapiens
cytokine_NCBI,1234,CCR5,9606,Homo sapiens
cytokine_NCBI,1235,CCR6,9606,Homo sapiens
cytokine_NCBI,1236,CCR7,9606,Homo sapiens
cytokine_NCBI,1237,CCR8,9606,Homo sapiens
cytokine_NCBI,10803,CCR9,9606,Homo sapiens
cytokine_NCBI,929,CD14,9606,Homo sapiens
cytokine_NCBI,11126,CD160,9606,Homo sapiens
cytokine_NCBI,9332,CD163,9606,Homo sapiens
cytokine_NCBI,57126,CD177,9606,Homo sapiens
cytokine_NCBI,4064,CD180,9606,Homo sapiens
cytokine_NCBI,930,CD19,9606,Homo sapiens
cytokine_NCBI,911,CD1C,9606,Homo sapiens
cytokine_NCBI,912,CD1D,9606,Homo sapiens
cytokine_NCBI,4345,CD200,9606,Homo sapiens
cytokine_NCBI,131450,CD200R1,9606,Homo sapiens
cytokine_NCBI,30835,CD209,9606,Homo sapiens
cytokine_NCBI,10666,CD226,9606,Homo sapiens
cytokine_NCBI,100133941,CD24,9606,Homo sapiens
cytokine_NCBI,51744,CD244,9606,Homo sapiens
cytokine_NCBI,29126,CD274,9606,Homo sapiens
cytokine_NCBI,80381,CD276,9606,Homo sapiens
cytokine_NCBI,940,CD28,9606,Homo sapiens
cytokine_NCBI,945,CD33,9606,Homo sapiens
cytokine_NCBI,947,CD34,9606,Homo sapiens
cytokine_NCBI,948,CD36,9606,Homo sapiens
cytokine_NCBI,920,CD4,9606,Homo sapiens
cytokine_NCBI,958,CD40,9606,Homo sapiens
cytokine_NCBI,959,CD40LG,9606,Homo sapiens
cytokine_NCBI,960,CD44,9606,Homo sapiens
cytokine_NCBI,4179,CD46,9606,Homo sapiens
cytokine_NCBI,961,CD47,9606,Homo sapiens
cytokine_NCBI,962,CD48,9606,Homo sapiens
cytokine_NCBI,1604,CD55,9606,Homo sapiens
cytokine_NCBI,923,CD6,9606,Homo sapiens
cytokine_NCBI,970,CD70,9606,Homo sapiens
cytokine_NCBI,972,CD74,9606,Homo sapiens
cytokine_NCBI,941,CD80,9606,Homo sapiens
cytokine_NCBI,975,CD81,9606,Homo sapiens
cytokine_NCBI,9308,CD83,9606,Homo sapiens
cytokine_NCBI,942,CD86,9606,Homo sapiens
cytokine_NCBI,925,CD8A,9606,Homo sapiens
cytokine_NCBI,10225,CD96,9606,Homo sapiens
cytokine_NCBI,998,CDC42,9606,Homo sapiens
cytokine_NCBI,1021,CDK6,9606,Homo sapiens
cytokine_NCBI,1024,CDK8,9606,Homo sapiens
cytokine_NCBI,1025,CDK9,9606,Homo sapiens
cytokine_NCBI,1026,CDKN1A,9606,Homo sapiens
cytokine_NCBI,100048912,CDKN2B-AS1,9606,Homo sapiens
cytokine_NCBI,634,CEACAM1,9606,Homo sapiens
cytokine_NCBI,1048,CEACAM5,9606,Homo sapiens
cytokine_NCBI,4680,CEACAM6,9606,Homo sapiens
cytokine_NCBI,1050,CEBPA,9606,Homo sapiens
cytokine_NCBI,1051,CEBPB,9606,Homo sapiens
cytokine_NCBI,1052,CEBPD,9606,Homo sapiens
cytokine_NCBI,55835,CENPJ,9606,Homo sapiens
cytokine_NCBI,9350,CER1,9606,Homo sapiens
cytokine_NCBI,3075,CFH,9606,Homo sapiens
cytokine_NCBI,1080,CFTR,9606,Homo sapiens
cytokine_NCBI,1113,CHGA,9606,Homo sapiens
cytokine_NCBI,1116,CHI3L1,9606,Homo sapiens
cytokine_NCBI,66005,CHID1,9606,Homo sapiens
cytokine_NCBI,8646,CHRD,9606,Homo sapiens
cytokine_NCBI,1139,CHRNA7,9606,Homo sapiens
cytokine_NCBI,1147,CHUK,9606,Homo sapiens
cytokine_NCBI,57019,CIAPIN1,9606,Homo sapiens
cytokine_NCBI,728599,CIAPIN1P,9606,Homo sapiens
cytokine_NCBI,1149,CIDEA,9606,Homo sapiens
cytokine_NCBI,4261,CIITA,9606,Homo sapiens
cytokine_NCBI,1154,CISH,9606,Homo sapiens
cytokine_NCBI,4435,CITED1,9606,Homo sapiens
cytokine_NCBI,51192,CKLF,9606,Homo sapiens
cytokine_NCBI,1178,CLC,9606,Homo sapiens
cytokine_NCBI,23529,CLCF1,9606,Homo sapiens
cytokine_NCBI,160364,CLEC12A,9606,Homo sapiens
cytokine_NCBI,23274,CLEC16A,9606,Homo sapiens
cytokine_NCBI,51266,CLEC1B,9606,Homo sapiens
cytokine_NCBI,50856,CLEC4A,9606,Homo sapiens
cytokine_NCBI,93978,CLEC6A,9606,Homo sapiens
cytokine_NCBI,64581,CLEC7A,9606,Homo sapiens
cytokine_NCBI,283420,CLEC9A,9606,Homo sapiens
cytokine_NCBI,116449,CLNK,9606,Homo sapiens
cytokine_NCBI,1215,CMA1,9606,Homo sapiens
cytokine_NCBI,113540,CMTM1,9606,Homo sapiens
cytokine_NCBI,146225,CMTM2,9606,Homo sapiens
cytokine_NCBI,123920,CMTM3,9606,Homo sapiens
cytokine_NCBI,116173,CMTM5,9606,Homo sapiens
cytokine_NCBI,112616,CMTM7,9606,Homo sapiens
cytokine_NCBI,152189,CMTM8,9606,Homo sapiens
cytokine_NCBI,9125,CNOT9,9606,Homo sapiens
cytokine_NCBI,1269,CNR2,9606,Homo sapiens
cytokine_NCBI,1270,CNTF,9606,Homo sapiens
cytokine_NCBI,1271,CNTFR,9606,Homo sapiens
cytokine_NCBI,53942,CNTN5,9606,Homo sapiens
cytokine_NCBI,85445,CNTNAP4,9606,Homo sapiens
cytokine_NCBI,11064,CNTRL,9606,Homo sapiens
cytokine_NCBI,1278,COL1A2,9606,Homo sapiens
cytokine_NCBI,340267,COL28A1,9606,Homo sapiens
cytokine_NCBI,1281,COL3A1,9606,Homo sapiens
cytokine_NCBI,1286,COL4A4,9606,Homo sapiens
cytokine_NCBI,78989,COLEC11,9606,Homo sapiens
cytokine_NCBI,1311,COMP,9606,Homo sapiens
cytokine_NCBI,1356,CP,9606,Homo sapiens
cytokine_NCBI,80772,CPTP,9606,Homo sapiens
cytokine_NCBI,1378,CR1,9606,Homo sapiens
cytokine_NCBI,1387,CREBBP,9606,Homo sapiens
cytokine_NCBI,1392,CRH,9606,Homo sapiens
cytokine_NCBI,1397,CRIP2,9606,Homo sapiens
cytokine_NCBI,1398,CRK,9606,Homo sapiens
cytokine_NCBI,1399,CRKL,9606,Homo sapiens
cytokine_NCBI,9244,CRLF1,9606,Homo sapiens
cytokine_NCBI,64109,CRLF2,9606,Homo sapiens
cytokine_NCBI,64109,CRLF2,9606,Homo sapiens
cytokine_NCBI,51379,CRLF3,9606,Homo sapiens
cytokine_NCBI,728815,CRLF3P1,9606,Homo sapiens
cytokine_NCBI,285706,CRLF3P2,9606,Homo sapiens
cytokine_NCBI,100124401,CRLF3P3,9606,Homo sapiens
cytokine_NCBI,49860,CRNN,9606,Homo sapiens
cytokine_NCBI,1401,CRP,9606,Homo sapiens
cytokine_NCBI,56253,CRTAM,9606,Homo sapiens
cytokine_NCBI,1411,CRYBA1,9606,Homo sapiens
cytokine_NCBI,1435,CSF1,9606,Homo sapiens
cytokine_NCBI,1436,CSF1R,9606,Homo sapiens
cytokine_NCBI,1437,CSF2,9606,Homo sapiens
cytokine_NCBI,1438,CSF2RA,9606,Homo sapiens
cytokine_NCBI,1438,CSF2RA,9606,Homo sapiens
cytokine_NCBI,1439,CSF2RB,9606,Homo sapiens
cytokine_NCBI,1440,CSF3,9606,Homo sapiens
cytokine_NCBI,1441,CSF3R,9606,Homo sapiens
cytokine_NCBI,1446,CSN1S1,9606,Homo sapiens
cytokine_NCBI,1457,CSNK2A1,9606,Homo sapiens
cytokine_NCBI,1471,CST3,9606,Homo sapiens
cytokine_NCBI,1489,CTF1,9606,Homo sapiens
cytokine_NCBI,100289419,CTF2P,9606,Homo sapiens
cytokine_NCBI,1491,CTH,9606,Homo sapiens
cytokine_NCBI,1493,CTLA4,9606,Homo sapiens
cytokine_NCBI,1499,CTNNB1,9606,Homo sapiens
cytokine_NCBI,1508,CTSB,9606,Homo sapiens
cytokine_NCBI,1509,CTSD,9606,Homo sapiens
cytokine_NCBI,79004,CUEDC2,9606,Homo sapiens
cytokine_NCBI,1523,CUX1,9606,Homo sapiens
cytokine_NCBI,6376,CX3CL1,9606,Homo sapiens
cytokine_NCBI,1524,CX3CR1,9606,Homo sapiens
cytokine_NCBI,2919,CXCL1,9606,Homo sapiens
cytokine_NCBI,3627,CXCL10,9606,Homo sapiens
cytokine_NCBI,6373,CXCL11,9606,Homo sapiens
cytokine_NCBI,6387,CXCL12,9606,Homo sapiens
cytokine_NCBI,10563,CXCL13,9606,Homo sapiens
cytokine_NCBI,9547,CXCL14,9606,Homo sapiens
cytokine_NCBI,58191,CXCL16,9606,Homo sapiens
cytokine_NCBI,50612,CXCL1P1,9606,Homo sapiens
cytokine_NCBI,2920,CXCL2,9606,Homo sapiens
cytokine_NCBI,6374,CXCL5,9606,Homo sapiens
