trait_id,GeneID,Symbol,tax_id,Org_name,Bioentity
cell_surface_UniProtKB,,TRBV10-2,9606,Homo sapiens,UniProtKB:A0A0K0K1G8
cell_surface_UniProtKB,,TRBV10-3,9606,Homo sapiens,UniProtKB:A0A0K0K1G6
cell_surface_UniProtKB,,TRBV7-7,9606,Homo sapiens,UniProtKB:A0A0K0K1E9
cell_surface_UniProtKB,,TRBV6-1,9606,Homo sapiens,UniProtKB:A0A0K0K1D8
cell_surface_UniProtKB,,TRBV27,9606,Homo sapiens,UniProtKB:A0A0K0K1C4
cell_surface_UniProtKB,,TRBV11-1,9606,Homo sapiens,UniProtKB:A0A0K0K1C0
cell_surface_UniProtKB,,TRBV30,9606,Homo sapiens,UniProtKB:A0A0K0K1B3
cell_surface_UniProtKB,,TRBV6-5,9606,Homo sapiens,UniProtKB:A0A0K0K1A5
cell_surface_UniProtKB,,TRBV10-1,9606,Homo sapiens,UniProtKB:A0A0K0K1A3
cell_surface_UniProtKB,,LLGL2,9606,Homo sapiens,UniProtKB:Q6P1M3
cell_surface_UniProtKB,,DELE1,9606,Homo sapiens,UniProtKB:Q14154
cell_surface_UniProtKB,,TRAT1,9606,Homo sapiens,UniProtKB:Q6PIZ9
cell_surface_UniProtKB,,TRBV6-2,9606,Homo sapiens,UniProtKB:A0A0J9YXY3
cell_surface_UniProtKB,,TRAC,9606,Homo sapiens,UniProtKB:P01848
cell_surface_UniProtKB,,KIR2DS2,9606,Homo sapiens,UniProtKB:P43631
cell_surface_UniProtKB,,KIR2DL1,9606,Homo sapiens,UniProtKB:P43626
cell_surface_UniProtKB,,TRGV2,9606,Homo sapiens,UniProtKB:A0A075B6R0
cell_surface_UniProtKB,,TRBV25-1,9606,Homo sapiens,UniProtKB:A0A075B6N4
cell_surface_UniProtKB,,TRBV24-1,9606,Homo sapiens,UniProtKB:A0A075B6N3
cell_surface_UniProtKB,,TRBV20-1,9606,Homo sapiens,UniProtKB:A0A075B6N2
cell_surface_UniProtKB,,TRBV19,9606,Homo sapiens,UniProtKB:A0A075B6N1
cell_surface_UniProtKB,,CD200R1L,9606,Homo sapiens,UniProtKB:Q6Q8B3
cell_surface_UniProtKB,,TRBV6-9,9606,Homo sapiens,UniProtKB:A0A0J9YX75
cell_surface_UniProtKB,,TRGV9,9606,Homo sapiens,UniProtKB:Q99603
cell_surface_UniProtKB,,BAD,9606,Homo sapiens,UniProtKB:Q92934
cell_surface_UniProtKB,,BCL9,9606,Homo sapiens,UniProtKB:O00512
cell_surface_UniProtKB,,CD8B,9606,Homo sapiens,UniProtKB:P10966
cell_surface_UniProtKB,,CCAR2,9606,Homo sapiens,UniProtKB:Q8N163
cell_surface_UniProtKB,,CEACAM8,9606,Homo sapiens,UniProtKB:P31997
cell_surface_UniProtKB,,TRAV19,9606,Homo sapiens,UniProtKB:A0A0A6YYK7
cell_surface_UniProtKB,,CEACAM5,9606,Homo sapiens,UniProtKB:P06731
cell_surface_UniProtKB,,TRBV6-8,9606,Homo sapiens,UniProtKB:A0A0A6YYG3
cell_surface_UniProtKB,,TRBV6-6,9606,Homo sapiens,UniProtKB:A0A0A6YYG2
cell_surface_UniProtKB,,TRBV13,9606,Homo sapiens,UniProtKB:A0A0A6YYD4
cell_surface_UniProtKB,,CD200R1,9606,Homo sapiens,UniProtKB:Q8TD46
cell_surface_UniProtKB,,TRBC1,9606,Homo sapiens,UniProtKB:P01850
cell_surface_UniProtKB,,TRBV16,9606,Homo sapiens,UniProtKB:A0A087WV62
cell_surface_UniProtKB,,TRBV7-9,9606,Homo sapiens,UniProtKB:P04435
cell_surface_UniProtKB,,ELMO1,9606,Homo sapiens,UniProtKB:Q92556
cell_surface_UniProtKB,,TRBV5-4,9606,Homo sapiens,UniProtKB:A0A0C4DH59
cell_surface_UniProtKB,,TRGV4,9606,Homo sapiens,UniProtKB:A0A0C4DH28
cell_surface_UniProtKB,,TRGV8,9606,Homo sapiens,UniProtKB:A0A0C4DH27
cell_surface_UniProtKB,,TRGC1,9606,Homo sapiens,UniProtKB:P0CF51
cell_surface_UniProtKB,,BCL9L,9606,Homo sapiens,UniProtKB:Q86UU0
cell_surface_UniProtKB,,MADCAM1,9606,Homo sapiens,UniProtKB:Q13477
cell_surface_UniProtKB,,CD274,9606,Homo sapiens,UniProtKB:Q9NZQ7
cell_surface_UniProtKB,,CDIP1,9606,Homo sapiens,UniProtKB:Q9H305
cell_surface_UniProtKB,,CD3D,9606,Homo sapiens,UniProtKB:P04234
cell_surface_UniProtKB,,GDNF,9606,Homo sapiens,UniProtKB:P39905
cell_surface_UniProtKB,,CD3G,9606,Homo sapiens,UniProtKB:P09693
cell_surface_UniProtKB,,TRBV12-4,9606,Homo sapiens,UniProtKB:A0A0B4J2E0
cell_surface_UniProtKB,,CEACAM1,9606,Homo sapiens,UniProtKB:P13688
cell_surface_UniProtKB,,TRBV7-2,9606,Homo sapiens,UniProtKB:A0A1B0GXF2
cell_surface_UniProtKB,,TRBV7-4,9606,Homo sapiens,UniProtKB:A0A1B0GX95
cell_surface_UniProtKB,,TRBV12-5,9606,Homo sapiens,UniProtKB:A0A1B0GX78
cell_surface_UniProtKB,,TRBV2,9606,Homo sapiens,UniProtKB:A0A1B0GX68
cell_surface_UniProtKB,,TRBV7-8,9606,Homo sapiens,UniProtKB:A0A1B0GX51
cell_surface_UniProtKB,,TRBV6-4,9606,Homo sapiens,UniProtKB:A0A1B0GX49
cell_surface_UniProtKB,,TRBV7-6,9606,Homo sapiens,UniProtKB:A0A1B0GX31
cell_surface_UniProtKB,,TRBV6-3,9606,Homo sapiens,UniProtKB:P0DPF7
cell_surface_UniProtKB,,CD3E,9606,Homo sapiens,UniProtKB:P07766
cell_surface_UniProtKB,,ELMO2,9606,Homo sapiens,UniProtKB:Q96JJ3
cell_surface_UniProtKB,,TRBC2,9606,Homo sapiens,UniProtKB:A0A5B9
cell_surface_UniProtKB,,TRBV29-1,9606,Homo sapiens,UniProtKB:A0A5B7
cell_surface_UniProtKB,,TRBV28,9606,Homo sapiens,UniProtKB:A0A5B6
cell_surface_UniProtKB,,TRBV14,9606,Homo sapiens,UniProtKB:A0A5B0
cell_surface_UniProtKB,,TRBV5-8,9606,Homo sapiens,UniProtKB:A0A5A2
cell_surface_UniProtKB,,TRBV18,9606,Homo sapiens,UniProtKB:A0A087X0M5
cell_surface_UniProtKB,,CDC42,9606,Homo sapiens,UniProtKB:P60953
cell_surface_UniProtKB,,TRBV5-6,9606,Homo sapiens,UniProtKB:A0A599
cell_surface_UniProtKB,,TRBV5-5,9606,Homo sapiens,UniProtKB:A0A597
cell_surface_UniProtKB,,TRBV4-3,9606,Homo sapiens,UniProtKB:A0A589
cell_surface_UniProtKB,,TRBV11-2,9606,Homo sapiens,UniProtKB:A0A584
cell_surface_UniProtKB,,TRBV5-1,9606,Homo sapiens,UniProtKB:A0A578
cell_surface_UniProtKB,,TRBV4-1,9606,Homo sapiens,UniProtKB:A0A577
cell_surface_UniProtKB,,TRBV3-1,9606,Homo sapiens,UniProtKB:A0A576
cell_surface_UniProtKB,,TRBV4-2,9606,Homo sapiens,UniProtKB:A0A539
cell_surface_UniProtKB,,CD28,9606,Homo sapiens,UniProtKB:P10747
cell_surface_UniProtKB,,KIT,9606,Homo sapiens,UniProtKB:P10721
cell_surface_UniProtKB,,PDCD1LG2,9606,Homo sapiens,UniProtKB:Q9BQ51
cell_surface_UniProtKB,,CD1E,9606,Homo sapiens,UniProtKB:P15812
cell_surface_UniProtKB,,CD247,9606,Homo sapiens,UniProtKB:P20963
cell_surface_UniProtKB,,TRBV9,9606,Homo sapiens,UniProtKB:A0A0B4J1U6
cell_surface_UniProtKB,,TRGV5,9606,Homo sapiens,UniProtKB:A0A0B4J1U4
cell_surface_UniProtKB,,CDK4,9606,Homo sapiens,UniProtKB:P11802
cell_surface_UniProtKB,,CDK5,9606,Homo sapiens,UniProtKB:Q00535
cell_surface_UniProtKB,,CDK14,9606,Homo sapiens,UniProtKB:O94921
cell_surface_UniProtKB,,BCL7B,9606,Homo sapiens,UniProtKB:Q9BQE9
cell_surface_UniProtKB,,GATA3,9606,Homo sapiens,UniProtKB:P23771
cell_surface_UniProtKB,,KLRF1,9606,Homo sapiens,UniProtKB:Q9NZS2
cell_surface_UniProtKB,,TRBV17,9606,Homo sapiens,UniProtKB:A0A087X0K7
cell_surface_UniProtKB,,TRBV5-3,9606,Homo sapiens,UniProtKB:A0A0J9YX65
cell_surface_UniProtKB,,TIGIT,9606,Homo sapiens,UniProtKB:Q495A1
cell_surface_UniProtKB,,CD79A,9606,Homo sapiens,UniProtKB:P11912
cell_surface_UniProtKB,,LIMS2,9606,Homo sapiens,UniProtKB:Q7Z4I7
cell_surface_UniProtKB,,VTCN1,9606,Homo sapiens,UniProtKB:Q7Z7D3
cell_surface_UniProtKB,,CDON,9606,Homo sapiens,UniProtKB:Q4KMG0
cell_surface_UniProtKB,,TRBV7-3,9606,Homo sapiens,UniProtKB:A0A075B6L6
cell_surface_UniProtKB,,TRGV11,9606,Homo sapiens,UniProtKB:A0A075B6L2
cell_surface_UniProtKB,,KLRG1,9606,Homo sapiens,UniProtKB:Q96E93
cell_surface_UniProtKB,,MZB1,9606,Homo sapiens,UniProtKB:Q8WU39
cell_surface_UniProtKB,,TRBV7-1,9606,Homo sapiens,UniProtKB:A0A0A6YYK4
cell_surface_UniProtKB,,DSCAML1,9606,Homo sapiens,UniProtKB:Q8TD84
cell_surface_UniProtKB,,TRAV29DV5,9606,Homo sapiens,UniProtKB:P04437
cell_surface_UniProtKB,,RHEX,9606,Homo sapiens,UniProtKB:Q6ZWK4
cell_surface_UniProtKB,,LIMS1,9606,Homo sapiens,UniProtKB:P48059
cell_surface_UniProtKB,,MCL1,9606,Homo sapiens,UniProtKB:Q07820
cell_surface_UniProtKB,,KLRB1,9606,Homo sapiens,UniProtKB:Q12918
cell_surface_UniProtKB,,CD8B2,9606,Homo sapiens,UniProtKB:A6NJW9
cell_surface_UniProtKB,,TRBV23-1,9606,Homo sapiens,UniProtKB:A0A0A0MS06
cell_surface_UniProtKB,,TRBV5-7,9606,Homo sapiens,UniProtKB:A0A0A0MS05
cell_surface_UniProtKB,,TRBV6-7,9606,Homo sapiens,UniProtKB:A0A0A0MS04
cell_surface_UniProtKB,,TRBV5-3,9606,Homo sapiens,UniProtKB:A0A0A0MS03
cell_surface_UniProtKB,,TRGV1,9606,Homo sapiens,UniProtKB:A0A0A0MS02
cell_surface_UniProtKB,,TRGV10,9606,Homo sapiens,UniProtKB:A0A0A0MS01
cell_surface_UniProtKB,,TRBV7-3,9606,Homo sapiens,UniProtKB:A0A1B0GXH9
cell_surface_UniProtKB,,CD79B,9606,Homo sapiens,UniProtKB:P40259
cell_surface_UniProtKB,,TMEM102,9606,Homo sapiens,UniProtKB:Q8N9M5
cell_surface_UniProtKB,,LILRA5,9606,Homo sapiens,UniProtKB:A6NI73
cell_surface_UniProtKB,,IGSF1,9606,Homo sapiens,UniProtKB:Q8N6C5
cell_surface_UniProtKB,,ALCAM,9606,Homo sapiens,UniProtKB:Q13740
cell_surface_UniProtKB,,LILRB2,9606,Homo sapiens,UniProtKB:Q8N423
cell_surface_UniProtKB,,GP6,9606,Homo sapiens,UniProtKB:Q9HCN6
cell_surface_UniProtKB,,LILRA2,9606,Homo sapiens,UniProtKB:Q8N149
cell_surface_UniProtKB,,ITPRIP,9606,Homo sapiens,UniProtKB:Q8IWB1
cell_surface_UniProtKB,,OSCAR,9606,Homo sapiens,UniProtKB:Q8IYS5
cell_surface_UniProtKB,,SCIMP,9606,Homo sapiens,UniProtKB:Q6UWF3
cell_surface_UniProtKB,,AGER,9606,Homo sapiens,UniProtKB:Q15109
cell_surface_UniProtKB,,TRBV20OR9-2,9606,Homo sapiens,UniProtKB:A0A075B6H5
cell_surface_UniProtKB,,SH2D2A,9606,Homo sapiens,UniProtKB:Q9NP31
cell_surface_UniProtKB,,BCL2L11,9606,Homo sapiens,UniProtKB:O43521
cell_surface_UniProtKB,,LILRA4,9606,Homo sapiens,UniProtKB:P59901
cell_surface_UniProtKB,,DCST1,9606,Homo sapiens,UniProtKB:Q5T197
cell_surface_UniProtKB,,LILRB5,9606,Homo sapiens,UniProtKB:O75023
cell_surface_UniProtKB,,LILRB3,9606,Homo sapiens,UniProtKB:O75022
cell_surface_UniProtKB,,LILRA1,9606,Homo sapiens,UniProtKB:O75019
cell_surface_UniProtKB,,LILRB1,9606,Homo sapiens,UniProtKB:Q8NHL6
cell_surface_UniProtKB,,LILRB4,9606,Homo sapiens,UniProtKB:Q8NHJ6
cell_surface_UniProtKB,,HAVCR2,9606,Homo sapiens,UniProtKB:Q8TDQ0
cell_surface_UniProtKB,,WDPCP,9606,Homo sapiens,UniProtKB:O95876
cell_surface_UniProtKB,,STRCP1,9606,Homo sapiens,UniProtKB:A6NGW2
cell_surface_UniProtKB,,CTNND2,9606,Homo sapiens,UniProtKB:Q9UQB3
cell_surface_UniProtKB,,ASTN1,9606,Homo sapiens,UniProtKB:O14525
cell_surface_UniProtKB,,MSLNL,9606,Homo sapiens,UniProtKB:Q96KJ4
cell_surface_UniProtKB,,IGSF5,9606,Homo sapiens,UniProtKB:Q9NSI5
cell_surface_UniProtKB,,CDSN,9606,Homo sapiens,UniProtKB:Q15517
cell_surface_UniProtKB,,GRAP2,9606,Homo sapiens,UniProtKB:O75791
cell_surface_UniProtKB,,EFNB1,9606,Homo sapiens,UniProtKB:P98172
cell_surface_UniProtKB,,GLDN,9606,Homo sapiens,UniProtKB:Q6ZMI3
cell_surface_UniProtKB,,LCE3D,9606,Homo sapiens,UniProtKB:Q9BYE3
cell_surface_UniProtKB,,SPRR4,9606,Homo sapiens,UniProtKB:Q96PI1
cell_surface_UniProtKB,,LCE1A,9606,Homo sapiens,UniProtKB:Q5T7P2
cell_surface_UniProtKB,,STRC,9606,Homo sapiens,UniProtKB:Q7RTU9
cell_surface_UniProtKB,,LAYN,9606,Homo sapiens,UniProtKB:Q6UX15
cell_surface_UniProtKB,,NRTN,9606,Homo sapiens,UniProtKB:Q99748
cell_surface_UniProtKB,,CNFN,9606,Homo sapiens,UniProtKB:Q9BYD5
cell_surface_UniProtKB,,HHLA2,9606,Homo sapiens,UniProtKB:Q9UM44
cell_surface_UniProtKB,,FERMT3,9606,Homo sapiens,UniProtKB:Q86UX7
cell_surface_UniProtKB,,INSYN1,9606,Homo sapiens,UniProtKB:Q2T9L4
cell_surface_UniProtKB,,H3BM21,9606,Homo sapiens,UniProtKB:H3BM21
cell_surface_UniProtKB,,INSYN2A,9606,Homo sapiens,UniProtKB:Q6ZSG2
cell_surface_UniProtKB,,ITGBL1,9606,Homo sapiens,UniProtKB:O95965
cell_surface_UniProtKB,,PAG1,9606,Homo sapiens,UniProtKB:Q9NWQ8
cell_surface_UniProtKB,,AMOTL1,9606,Homo sapiens,UniProtKB:Q8IY63
cell_surface_UniProtKB,,DSC1,9606,Homo sapiens,UniProtKB:Q08554
cell_surface_UniProtKB,,PKP4,9606,Homo sapiens,UniProtKB:Q99569
cell_surface_UniProtKB,,UNC5A,9606,Homo sapiens,UniProtKB:Q6ZN44
cell_surface_UniProtKB,,SORBS2,9606,Homo sapiens,UniProtKB:O94875
cell_surface_UniProtKB,,CDH6,9606,Homo sapiens,UniProtKB:P55285
cell_surface_UniProtKB,,DSG3,9606,Homo sapiens,UniProtKB:P32926
cell_surface_UniProtKB,,DSC3,9606,Homo sapiens,UniProtKB:Q14574
cell_surface_UniProtKB,,AMOTL2,9606,Homo sapiens,UniProtKB:Q9Y2J4
