trait_id,GeneID,Symbol,tax_id,Org_name
cell_surface_NCBI,214,ALCAM,9606,Homo sapiens
cell_surface_NCBI,238,ALK,9606,Homo sapiens
cell_surface_NCBI,251,ALPG,9606,Homo sapiens
cell_surface_NCBI,250,ALPP,9606,Homo sapiens
cell_surface_NCBI,259,AMBP,9606,Homo sapiens
cell_surface_NCBI,265,AMELX,9606,Homo sapiens
cell_surface_NCBI,267,AMFR,9606,Homo sapiens
cell_surface_NCBI,269,AMHR2,9606,Homo sapiens
cell_surface_NCBI,284,ANGPT1,9606,Homo sapiens
cell_surface_NCBI,285,ANGPT2,9606,Homo sapiens
cell_surface_NCBI,27329,ANGPTL3,9606,Homo sapiens
cell_surface_NCBI,51129,ANGPTL4,9606,Homo sapiens
cell_surface_NCBI,287,ANK2,9606,Homo sapiens
cell_surface_NCBI,288,ANK3,9606,Homo sapiens
cell_surface_NCBI,55107,ANO1,9606,Homo sapiens
cell_surface_NCBI,196527,ANO6,9606,Homo sapiens
cell_surface_NCBI,3730,ANOS1,9606,Homo sapiens
cell_surface_NCBI,290,ANPEP,9606,Homo sapiens
cell_surface_NCBI,84168,ANTXR1,9606,Homo sapiens
cell_surface_NCBI,118429,ANTXR2,9606,Homo sapiens
cell_surface_NCBI,195977,ANTXRL,9606,Homo sapiens
cell_surface_NCBI,301,ANXA1,9606,Homo sapiens
cell_surface_NCBI,302,ANXA2,9606,Homo sapiens
cell_surface_NCBI,307,ANXA4,9606,Homo sapiens
cell_surface_NCBI,309,ANXA6,9606,Homo sapiens
cell_surface_NCBI,653145,ANXA8,9606,Homo sapiens
cell_surface_NCBI,8416,ANXA9,9606,Homo sapiens
cell_surface_NCBI,8639,AOC3,9606,Homo sapiens
cell_surface_NCBI,8906,AP1G2,9606,Homo sapiens
cell_surface_NCBI,161,AP2A2,9606,Homo sapiens
cell_surface_NCBI,1173,AP2M1,9606,Homo sapiens
cell_surface_NCBI,8546,AP3B1,9606,Homo sapiens
cell_surface_NCBI,328,APEX1,9606,Homo sapiens
cell_surface_NCBI,57136,APMAP,9606,Homo sapiens
cell_surface_NCBI,335,APOA1,9606,Homo sapiens
cell_surface_NCBI,337,APOA4,9606,Homo sapiens
cell_surface_NCBI,116519,APOA5,9606,Homo sapiens
cell_surface_NCBI,60489,APOBEC3G,9606,Homo sapiens
cell_surface_NCBI,348,APOE,9606,Homo sapiens
cell_surface_NCBI,350,APOH,9606,Homo sapiens
cell_surface_NCBI,351,APP,9606,Homo sapiens
cell_surface_NCBI,10513,APPBP2,9606,Homo sapiens
cell_surface_NCBI,282679,AQP11,9606,Homo sapiens
cell_surface_NCBI,359,AQP2,9606,Homo sapiens
cell_surface_NCBI,361,AQP4,9606,Homo sapiens
cell_surface_NCBI,366,AQP9,9606,Homo sapiens
cell_surface_NCBI,116985,ARAP1,9606,Homo sapiens
cell_surface_NCBI,374,AREG,9606,Homo sapiens
cell_surface_NCBI,382,ARF6,9606,Homo sapiens
cell_surface_NCBI,10565,ARFGEF1,9606,Homo sapiens
cell_surface_NCBI,10564,ARFGEF2,9606,Homo sapiens
cell_surface_NCBI,23092,ARHGAP26,9606,Homo sapiens
cell_surface_NCBI,394,ARHGAP5,9606,Homo sapiens
cell_surface_NCBI,408,ARRB1,9606,Homo sapiens
cell_surface_NCBI,409,ARRB2,9606,Homo sapiens
cell_surface_NCBI,411,ARSB,9606,Homo sapiens
cell_surface_NCBI,432,ASGR1,9606,Homo sapiens
cell_surface_NCBI,433,ASGR2,9606,Homo sapiens
cell_surface_NCBI,41,ASIC1,9606,Homo sapiens
cell_surface_NCBI,40,ASIC2,9606,Homo sapiens
cell_surface_NCBI,23245,ASTN2,9606,Homo sapiens
cell_surface_NCBI,480,ATP1A4,9606,Homo sapiens
cell_surface_NCBI,498,ATP5F1A,9606,Homo sapiens
cell_surface_NCBI,506,ATP5F1B,9606,Homo sapiens
cell_surface_NCBI,514,ATP5F1E,9606,Homo sapiens
cell_surface_NCBI,93974,ATP5IF1,9606,Homo sapiens
cell_surface_NCBI,50617,ATP6V0A4,9606,Homo sapiens
cell_surface_NCBI,527,ATP6V0C,9606,Homo sapiens
cell_surface_NCBI,554,AVPR2,9606,Homo sapiens
cell_surface_NCBI,558,AXL,9606,Homo sapiens
cell_surface_NCBI,566,AZU1,9606,Homo sapiens
cell_surface_NCBI,567,B2M,9606,Homo sapiens
cell_surface_NCBI,283358,B4GALNT3,9606,Homo sapiens
cell_surface_NCBI,2683,B4GALT1,9606,Homo sapiens
cell_surface_NCBI,23621,BACE1,9606,Homo sapiens
cell_surface_NCBI,573,BAG1,9606,Homo sapiens
cell_surface_NCBI,7917,BAG6,9606,Homo sapiens
cell_surface_NCBI,4059,BCAM,9606,Homo sapiens
cell_surface_NCBI,55973,BCAP29,9606,Homo sapiens
cell_surface_NCBI,10134,BCAP31,9606,Homo sapiens
cell_surface_NCBI,596,BCL2,9606,Homo sapiens
cell_surface_NCBI,613,BCR,9606,Homo sapiens
cell_surface_NCBI,623,BDKRB1,9606,Homo sapiens
cell_surface_NCBI,624,BDKRB2,9606,Homo sapiens
cell_surface_NCBI,627,BDNF,9606,Homo sapiens
cell_surface_NCBI,633,BGN,9606,Homo sapiens
cell_surface_NCBI,329,BIRC2,9606,Homo sapiens
cell_surface_NCBI,330,BIRC3,9606,Homo sapiens
cell_surface_NCBI,27302,BMP10,9606,Homo sapiens
cell_surface_NCBI,650,BMP2,9606,Homo sapiens
cell_surface_NCBI,652,BMP4,9606,Homo sapiens
cell_surface_NCBI,654,BMP6,9606,Homo sapiens
cell_surface_NCBI,655,BMP7,9606,Homo sapiens
cell_surface_NCBI,657,BMPR1A,9606,Homo sapiens
cell_surface_NCBI,659,BMPR2,9606,Homo sapiens
cell_surface_NCBI,91653,BOC,9606,Homo sapiens
cell_surface_NCBI,673,BRAF,9606,Homo sapiens
cell_surface_NCBI,10902,BRD8,9606,Homo sapiens
cell_surface_NCBI,682,BSG,9606,Homo sapiens
cell_surface_NCBI,8927,BSN,9606,Homo sapiens
cell_surface_NCBI,100131137,BSPH1,9606,Homo sapiens
cell_surface_NCBI,684,BST2,9606,Homo sapiens
cell_surface_NCBI,151888,BTLA,9606,Homo sapiens
cell_surface_NCBI,696,BTN1A1,9606,Homo sapiens
cell_surface_NCBI,8945,BTRC,9606,Homo sapiens
cell_surface_NCBI,100141515,C17orf99,9606,Homo sapiens
cell_surface_NCBI,56913,C1GALT1,9606,Homo sapiens
cell_surface_NCBI,708,C1QBP,9606,Homo sapiens
cell_surface_NCBI,718,C3,9606,Homo sapiens
cell_surface_NCBI,51161,C3orf18,9606,Homo sapiens
cell_surface_NCBI,722,C4BPA,9606,Homo sapiens
cell_surface_NCBI,725,C4BPB,9606,Homo sapiens
cell_surface_NCBI,727,C5,9606,Homo sapiens
cell_surface_NCBI,728,C5AR1,9606,Homo sapiens
cell_surface_NCBI,762,CA4,9606,Homo sapiens
cell_surface_NCBI,768,CA9,9606,Homo sapiens
cell_surface_NCBI,23523,CABIN1,9606,Homo sapiens
cell_surface_NCBI,57685,CACHD1,9606,Homo sapiens
