trait_id,GeneID,Symbol,Org_name,tax_id
transcription_factor_NCBI,3135,HLA-G,Homo sapiens,9606
transcription_factor_NCBI,5966,REL,Homo sapiens,9606
transcription_factor_NCBI,1050,CEBPA,Homo sapiens,9606
transcription_factor_NCBI,7186,TRAF2,Homo sapiens,9606
transcription_factor_NCBI,4089,SMAD4,Homo sapiens,9606
transcription_factor_NCBI,54658,UGT1A1,Homo sapiens,9606
transcription_factor_NCBI,4312,MMP1,Homo sapiens,9606
transcription_factor_NCBI,142,PARP1,Homo sapiens,9606
transcription_factor_NCBI,7291,TWIST1,Homo sapiens,9606
transcription_factor_NCBI,51738,GHRL,Homo sapiens,9606
transcription_factor_NCBI,4791,NFKB2,Homo sapiens,9606
transcription_factor_NCBI,10891,PPARGC1A,Homo sapiens,9606
transcription_factor_NCBI,3172,HNF4A,Homo sapiens,9606
transcription_factor_NCBI,1950,EGF,Homo sapiens,9606
transcription_factor_NCBI,6927,HNF1A,Homo sapiens,9606
transcription_factor_NCBI,6935,ZEB1,Homo sapiens,9606
transcription_factor_NCBI,4292,MLH1,Homo sapiens,9606
transcription_factor_NCBI,5621,PRNP,Homo sapiens,9606
transcription_factor_NCBI,4582,MUC1,Homo sapiens,9606
transcription_factor_NCBI,5747,PTK2,Homo sapiens,9606
transcription_factor_NCBI,5241,PGR,Homo sapiens,9606
transcription_factor_NCBI,1906,EDN1,Homo sapiens,9606
transcription_factor_NCBI,3064,HTT,Homo sapiens,9606
transcription_factor_NCBI,328,APEX1,Homo sapiens,9606
transcription_factor_NCBI,9429,ABCG2,Homo sapiens,9606
transcription_factor_NCBI,3043,HBB,Homo sapiens,9606
transcription_factor_NCBI,7185,TRAF1,Homo sapiens,9606
transcription_factor_NCBI,10413,YAP1,Homo sapiens,9606
transcription_factor_NCBI,1559,CYP2C9,Homo sapiens,9606
transcription_factor_NCBI,324,APC,Homo sapiens,9606
transcription_factor_NCBI,9575,CLOCK,Homo sapiens,9606
transcription_factor_NCBI,1051,CEBPB,Homo sapiens,9606
transcription_factor_NCBI,185,AGTR1,Homo sapiens,9606
transcription_factor_NCBI,4843,NOS2,Homo sapiens,9606
transcription_factor_NCBI,4000,LMNA,Homo sapiens,9606
transcription_factor_NCBI,9971,NR1H4,Homo sapiens,9606
transcription_factor_NCBI,4087,SMAD2,Homo sapiens,9606
transcription_factor_NCBI,4282,MIF,Homo sapiens,9606
transcription_factor_NCBI,5573,PRKAR1A,Homo sapiens,9606
transcription_factor_NCBI,1588,CYP19A1,Homo sapiens,9606
transcription_factor_NCBI,10643,IGF2BP3,Homo sapiens,9606
transcription_factor_NCBI,3417,IDH1,Homo sapiens,9606
transcription_factor_NCBI,7132,TNFRSF1A,Homo sapiens,9606
transcription_factor_NCBI,3949,LDLR,Homo sapiens,9606
transcription_factor_NCBI,4255,MGMT,Homo sapiens,9606
transcription_factor_NCBI,109580095,HBB-LCR,Homo sapiens,9606
transcription_factor_NCBI,1958,EGR1,Homo sapiens,9606
transcription_factor_NCBI,4772,NFATC1,Homo sapiens,9606
transcription_factor_NCBI,238,ALK,Homo sapiens,9606
transcription_factor_NCBI,406938,MIR146A,Homo sapiens,9606
transcription_factor_NCBI,2113,ETS1,Homo sapiens,9606
transcription_factor_NCBI,3558,IL2,Homo sapiens,9606
transcription_factor_NCBI,5071,PRKN,Homo sapiens,9606
transcription_factor_NCBI,5663,PSEN1,Homo sapiens,9606
transcription_factor_NCBI,4982,TNFRSF11B,Homo sapiens,9606
transcription_factor_NCBI,7161,TP73,Homo sapiens,9606
transcription_factor_NCBI,2322,FLT3,Homo sapiens,9606
transcription_factor_NCBI,6591,SNAI2,Homo sapiens,9606
transcription_factor_NCBI,2332,FMR1,Homo sapiens,9606
transcription_factor_NCBI,2305,FOXM1,Homo sapiens,9606
transcription_factor_NCBI,3065,HDAC1,Homo sapiens,9606
transcription_factor_NCBI,467,ATF3,Homo sapiens,9606
transcription_factor_NCBI,1277,COL1A1,Homo sapiens,9606
transcription_factor_NCBI,860,RUNX2,Homo sapiens,9606
transcription_factor_NCBI,7528,YY1,Homo sapiens,9606
transcription_factor_NCBI,7428,VHL,Homo sapiens,9606
transcription_factor_NCBI,2247,FGF2,Homo sapiens,9606
transcription_factor_NCBI,1387,CREBBP,Homo sapiens,9606
transcription_factor_NCBI,7187,TRAF3,Homo sapiens,9606
transcription_factor_NCBI,56729,RETN,Homo sapiens,9606
transcription_factor_NCBI,6352,CCL5,Homo sapiens,9606
transcription_factor_NCBI,4023,LPL,Homo sapiens,9606
transcription_factor_NCBI,3320,HSP90AA1,Homo sapiens,9606
transcription_factor_NCBI,4170,MCL1,Homo sapiens,9606
transcription_factor_NCBI,1815,DRD4,Homo sapiens,9606
transcription_factor_NCBI,5451,POU2F1,Homo sapiens,9606
transcription_factor_NCBI,406947,MIR155,Homo sapiens,9606
transcription_factor_NCBI,3627,CXCL10,Homo sapiens,9606
transcription_factor_NCBI,407040,MIR34A,Homo sapiens,9606
transcription_factor_NCBI,841,CASP8,Homo sapiens,9606
transcription_factor_NCBI,54106,TLR9,Homo sapiens,9606
transcription_factor_NCBI,983,CDK1,Homo sapiens,9606
transcription_factor_NCBI,3659,IRF1,Homo sapiens,9606
transcription_factor_NCBI,3265,HRAS,Homo sapiens,9606
transcription_factor_NCBI,7316,UBC,Homo sapiens,9606
transcription_factor_NCBI,4486,MST1R,Homo sapiens,9606
transcription_factor_NCBI,4773,NFATC2,Homo sapiens,9606
transcription_factor_NCBI,4314,MMP3,Homo sapiens,9606
transcription_factor_NCBI,1490,CCN2,Homo sapiens,9606
transcription_factor_NCBI,11200,CHEK2,Homo sapiens,9606
transcription_factor_NCBI,864,RUNX3,Homo sapiens,9606
transcription_factor_NCBI,3397,ID1,Homo sapiens,9606
transcription_factor_NCBI,4988,OPRM1,Homo sapiens,9606
transcription_factor_NCBI,2263,FGFR2,Homo sapiens,9606
transcription_factor_NCBI,3661,IRF3,Homo sapiens,9606
transcription_factor_NCBI,650,BMP2,Homo sapiens,9606
transcription_factor_NCBI,8600,TNFSF11,Homo sapiens,9606
